test;index;Pearson's r;95% CI;t-statistic;p-value (r);Spearman's rho;S statistic;p-value (rho)
1_verbalni_pamet_a_uceni;1_konfab_1.4;.12;[-.24, .46];0.661;.514;.21;3935.4;.265
1_verbalni_pamet_a_uceni;1_opak_1.4;.54;[.23, .75];3.434;.002;.50;2475.0;.004
1_verbalni_pamet_a_uceni;1_pok1;.49;[.17, .72];3.067;.005;.47;2645.4;.008
1_verbalni_pamet_a_uceni;1_pok2;.50;[.17, .72];3.096;.004;.43;2841.3;.016
1_verbalni_pamet_a_uceni;1_pok3;.60;[.32, .79];4.090;< .001;.62;1865.2;< .001
1_verbalni_pamet_a_uceni;1_pok4;.48;[.15, .71];2.918;.007;.56;2187.2;.001
1_verbalni_pamet_a_uceni;1_pok5;.31;[-.05, .60];1.779;.086;.32;3373.6;.079
1_verbalni_pamet_a_uceni;1_pok6;.55;[.24, .76];3.546;.001;.51;2452.9;.004
1_verbalni_pamet_a_uceni;1_pok7;.57;[.27, .77];3.718;< .001;.54;2260.9;.002
1_verbalni_pamet_a_uceni;1_pok_1.4;.70;[.45, .84];5.226;< .001;.65;1739.1;< .001
1_verbalni_pamet_a_uceni;1_rekog_nuc_volba;-.10;[-.43, .27];-0.513;.612;-.10;5460.5;.589
1_verbalni_pamet_a_uceni;1_rekog_sumSeznam1;.25;[-.12, .55];1.371;.181;.28;3559.5;.124
1_verbalni_pamet_a_uceni;1_rekognice_sumHS;.32;[-.04, .61];1.830;.078;.41;2907.0;.021
2_pamet_na_pribehy_OKAMZITE;2_pribeh1_ok_sum;.69;[.44, .84];5.116;< .001;.70;1492.6;< .001
2_pamet_na_pribehy_OKAMZITE;2_pribeh2_ok_sum;.88;[.77, .94];10.213;< .001;.78;1103.8;< .001
2_pamet_na_pribehy_OKAMZITE;2_sum_1_2;.86;[.74, .93];9.271;< .001;.81;936.5;< .001
2_pamet_na_pribehy_ODDALENE;2_pribeh1_odd_sum1;.65;[.38, .82];4.586;< .001;.65;1722.7;< .001
