test;index;A;B;diff [95% CI];t-value;df;p-value (t-test);Cohen's d;V value;p-value (Wilcoxon);r value
10_konfrontacni_pojmenovani;10_celkem_fon;2.74 ± 2.10;2.68 ± 1.64;0.06 [-0.78, 0.91];0.157;30;.877;0.03;211.0;.863;0.03
10_konfrontacni_pojmenovani;10_celkem_kat;1.06 ± 1.06;0.77 ± 0.72;0.29 [-0.14, 0.72];1.393;30;.174;0.25;114.0;.202;0.20
10_konfrontacni_pojmenovani;10_celkem_spont;28.26 ± 4.14;26.74 ± 4.21;1.52 [0.66, 2.37];3.613;30;.001;0.65;327.0;< .001;0.61
10_konfrontacni_pojmenovani;10_celkem_spont.kat;29.32 ± 4.04;27.52 ± 4.20;1.81 [1.00, 2.61];4.577;30;< .001;0.82;362.5;< .001;0.65
11_vybaveni_s_napovedou;11_sum_konfab;0.23 ± 0.50;0.10 ± 0.30;0.13 [-0.08, 0.34];1.278;30;.211;0.23;21.0;.240;0.21
11_vybaveni_s_napovedou;11_sum_napoveda;8.64 ± 2.35;9.13 ± 2.68;-0.48 [-1.56, 0.60];-0.916;30;.367;-0.16;157.0;.643;0.08
11_vybaveni_s_napovedou;11_sum_pojm;19.68 ± 0.70;19.81 ± 0.54;-0.13 [-0.36, 0.10];-1.161;30;.255;-0.21;13.5;.275;0.19
11_vybaveni_s_napovedou;11_sum_spont_vybav;10.55 ± 2.86;9.87 ± 3.06;0.68 [-0.48, 1.84];1.191;30;.243;0.21;263.5;.320;0.19
11_vybaveni_s_napovedou;11_sum_vybav;19.74 ± 0.68;20.16 ± 1.88;-0.42 [-1.11, 0.27];-1.245;30;.223;-0.22;12.0;.212;0.19
11_vybaveni_s_napovedou;11_sum_vybav_spont_napoveda;19.19 ± 1.25;19.00 ± 1.09;0.19 [-0.26, 0.65];0.862;30;.395;0.15;137.0;.451;0.17
12_prospektivni_pamet;12_pro_pa_1.8_sum;12.03 ± 3.08;11.00 ± 4.02;1.03 [-0.26, 2.33];1.626;30;.114;0.29;228.5;.180;0.24
